participant_id,monolingual,age,sex,group,two_langs
60cbabd69ddfb4d7243a1e38,I was raised with my native language only,52,Male,0,"no, only English or Spanish"
66e058f3dbbb9886a801d3ed,I was raised with my native language only,51,Male,0,"no, only English or Spanish"
57d940a5995a0b00016350be,I was raised with my native language only,63,Female,0,"no, only English or Spanish"
669d3a5ae44e342da0923962,I was raised with my native language only,56,Female,0,"no, only English or Spanish"
6389301d2575b8e4c1e7cc5c,I was raised with my native language only,65,Female,0,"no, only English or Spanish"
62d59a7b40c07da2c0a5b473,I was raised with my native language only,34,Female,0,"no, only English or Spanish"
647b94fa0a35e23330edcc2f,I was raised with my native language only,56,Female,0,click here to respond
665762fdab6df18f5032505b,I was raised with my native language only,49,Female,0,"no, only English or Spanish"
571e332b1bdf1a00119149f2,I was raised with my native language only,44,Female,0,"no, only English or Spanish"
61141ef53317a3f90b098b66,I was raised with my native language only,32,Female,0,"no, only English or Spanish"
66e2de50b2eb63d466d153af,I was raised with my native language only,34,Male,0,"no, only English or Spanish"
63d13cb81a0a88a3ce29e33f,I was raised with my native language only,40,Male,0,"no, only English or Spanish"
67913c61b0348a0c3a92405d,I was raised with my native language only,53,Female,0,"no, only English or Spanish"
